time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02 00:00:00,141.99000,143.53000,140.55000,143.37000,24214.00000,0,0.00000
2020-01-03 00:00:00,148.29000,151.31000,146.95000,147.58000,38992.00000,0,0.00000
2020-01-06 00:00:00,148.35000,150.32000,147.04000,150.27000,25388.00000,0,0.00000
2020-01-07 00:00:00,153.05000,157.18000,151.08000,156.07000,40027.00000,0,0.00000
2020-01-08 00:00:00,158.19000,166.08000,156.05000,163.87000,56051.00000,0,0.00000
2020-01-09 00:00:00,164.20000,165.68000,157.61000,160.10000,57676.00000,0,0.00000
2020-01-10 00:00:00,159.45000,161.60000,157.90000,159.16000,36258.00000,0,0.00000
2020-01-13 00:00:00,166.90000,174.97000,165.42000,174.86000,50524.00000,0,0.00000
2020-01-14 00:00:00,180.15000,182.23000,174.94000,179.19000,59895.00000,0,0.00000
2020-01-15 00:00:00,176.78000,179.21000,172.48000,172.49000,41717.00000,0,0.00000
2020-01-16 00:00:00,167.70000,171.45000,165.39000,171.10000,43504.00000,0,0.00000
2020-01-17 00:00:00,170.66000,171.78000,167.70000,169.87000,35940.00000,0,0.00000
2020-01-21 00:00:00,179.11000,182.81000,178.37000,182.50000,39069.00000,0,0.00000
2020-01-22 00:00:00,189.65000,198.08000,186.35000,190.13000,62612.00000,0,0.00000
2020-01-23 00:00:00,187.02000,193.89000,185.17000,190.64000,40937.00000,0,0.00000
2020-01-24 00:00:00,189.18000,190.80000,184.75000,187.25000,40507.00000,0,0.00000
2020-01-27 00:00:00,182.85000,188.07000,180.49000,186.04000,37507.00000,0,0.00000
2020-01-28 00:00:00,191.42000,191.90000,186.01000,189.00000,34568.00000,0,0.00000
2020-01-29 00:00:00,191.04000,196.54000,189.12000,192.99000,36906.00000,0,0.00000
2020-01-30 00:00:00,210.47000,216.88000,209.98000,214.07000,53274.00000,0,0.00000
2020-01-31 00:00:00,214.43000,217.57000,210.82000,217.53000,47882.00000,0,0.00000
2020-02-03 00:00:00,228.08000,261.92000,228.05000,259.83000,79297.00000,0,0.00000
2020-02-04 00:00:00,281.70000,322.94000,281.70000,290.65000,96754.00000,0,0.00000
2020-02-05 00:00:00,272.05000,281.83000,234.72000,241.86000,81676.00000,0,0.00000
2020-02-06 00:00:00,232.71000,265.17000,230.32000,249.98000,82048.00000,0,0.00000
2020-02-07 00:00:00,250.72000,254.32000,243.98000,249.32000,45567.00000,0,0.00000
2020-02-10 00:00:00,267.99000,273.03000,250.78000,256.07000,58154.00000,0,0.00000
2020-02-11 00:00:00,254.48000,261.06000,252.65000,257.98000,49588.00000,0,0.00000
2020-02-12 00:00:00,261.32000,263.13000,254.43000,255.63000,34376.00000,0,0.00000
2020-02-13 00:00:00,250.08000,272.56000,249.08000,266.88000,55972.00000,0,0.00000
2020-02-14 00:00:00,268.32000,270.82000,264.16000,266.30000,39364.00000,0,0.00000
2020-02-18 00:00:00,282.81000,286.62000,277.44000,286.24000,40830.00000,0,0.00000
2020-02-19 00:00:00,305.32000,314.84000,300.32000,305.62000,50772.00000,0,0.00000
2020-02-20 00:00:00,299.65000,303.65000,286.58000,299.39000,43973.00000,0,0.00000
2020-02-21 00:00:00,300.98000,301.47000,293.48000,300.36000,40311.00000,0,0.00000
2020-02-24 00:00:00,280.64000,287.56000,274.47000,279.31000,45107.00000,0,0.00000
2020-02-25 00:00:00,282.51000,283.36000,262.32000,266.25000,59765.00000,0,0.00000
