time,open,high,low,close,tick_volume,spread,real_volume,volume
2015-01-15 16:00:00,1.18774,1.19517,1.18769,1.19270,26907.00000,8,0.00000,
2015-01-15 20:00:00,1.19270,1.19777,1.19231,1.19569,14595.00000,9,0.00000,
2015-01-16 00:00:00,1.19570,1.19836,1.19501,1.19779,9676.00000,18,0.00000,
2015-01-16 04:00:00,1.19778,1.19779,1.19616,1.19631,8873.00000,10,0.00000,
2015-01-16 08:00:00,1.19628,1.19970,1.19601,1.19938,12822.00000,9,0.00000,
2015-01-16 12:00:00,1.19937,1.20457,1.19766,1.20087,18001.00000,3,0.00000,
2015-01-16 16:00:00,1.20086,1.20327,1.19689,1.19778,21936.00000,3,0.00000,
2015-01-16 20:00:00,1.19775,1.19891,1.19607,1.19824,12017.00000,3,0.00000,
2015-01-19 00:00:00,1.19787,1.19803,1.19630,1.19773,8110.00000,9,0.00000,
2015-01-19 04:00:00,1.19774,1.19782,1.19528,1.19531,7189.00000,5,0.00000,
2015-01-19 08:00:00,1.19538,1.19731,1.19486,1.19631,10913.00000,5,0.00000,
2015-01-19 12:00:00,1.19630,1.19851,1.19586,1.19692,7213.00000,3,0.00000,
2015-01-19 16:00:00,1.19693,1.19845,1.19552,1.19580,7075.00000,3,0.00000,
2015-01-19 20:00:00,1.19581,1.19649,1.19333,1.19378,3596.00000,3,0.00000,
2015-01-20 00:00:00,1.19363,1.19681,1.19360,1.19607,3547.00000,5,0.00000,
2015-01-20 04:00:00,1.19609,1.19793,1.19606,1.19701,3752.00000,8,0.00000,
2015-01-20 08:00:00,1.19704,1.19823,1.19501,1.19662,7964.00000,7,0.00000,
2015-01-20 12:00:00,1.19661,1.20339,1.19614,1.20209,8885.00000,4,0.00000,
2015-01-20 16:00:00,1.20211,1.21118,1.20208,1.20925,10774.00000,4,0.00000,
2015-01-20 20:00:00,1.20924,1.21135,1.20865,1.21109,4562.00000,5,0.00000,
2015-01-21 00:00:00,1.21103,1.21134,1.20908,1.20921,3118.00000,16,0.00000,
2015-01-21 04:00:00,1.20922,1.20925,1.20777,1.20804,3958.00000,6,0.00000,
2015-01-21 08:00:00,1.20802,1.21075,1.20730,1.20955,7682.00000,6,0.00000,
2015-01-21 12:00:00,1.20948,1.21007,1.20663,1.20703,8560.00000,5,0.00000,
2015-01-21 16:00:00,1.20702,1.23931,1.20619,1.23639,17321.00000,3,0.00000,
2015-01-21 20:00:00,1.23638,1.23796,1.23246,1.23380,6415.00000,3,0.00000,
2015-01-22 00:00:00,1.23371,1.23584,1.23233,1.23546,4650.00000,13,0.00000,
2015-01-22 04:00:00,1.23545,1.23716,1.23521,1.23707,4739.00000,7,0.00000,
2015-01-22 08:00:00,1.23711,1.23748,1.23289,1.23333,7177.00000,4,0.00000,
2015-01-22 12:00:00,1.23334,1.23852,1.23126,1.23688,11615.00000,4,0.00000,
2015-01-22 16:00:00,1.23688,1.23882,1.23280,1.23796,14016.00000,6,0.00000,
2015-01-22 20:00:00,1.23793,1.24186,1.23649,1.23778,7620.00000,3,0.00000,
2015-01-23 00:00:00,1.23779,1.23954,1.23592,1.23833,4728.00000,20,0.00000,
2015-01-23 04:00:00,1.23833,1.24067,1.23738,1.23938,4899.00000,8,0.00000,
2015-01-23 08:00:00,1.23942,1.24147,1.23662,1.24138,10017.00000,8,0.00000,
2015-01-23 12:00:00,1.24140,1.24556,1.23777,1.23881,12842.00000,6,0.00000,
2015-01-23 16:00:00,1.23883,1.24227,1.23853,1.23993,11645.00000,6,0.00000,
2015-01-23 20:00:00,1.23992,1.24391,1.23992,1.24168,5322.00000,6,0.00000,
2015-01-26 00:00:00,1.24406,1.24589,1.24321,1.24431,5728.00000,18,0.00000,
2015-01-26 04:00:00,1.24432,1.24561,1.24337,1.24464,3690.00000,8,0.00000,
2015-01-26 08:00:00,1.24464,1.24750,1.24346,1.24537,8423.00000,4,0.00000,
2015-01-26 12:00:00,1.24541,1.24723,1.24371,1.24554,8528.00000,5,0.00000,
2015-01-26 16:00:00,1.24557,1.24589,1.24042,1.24249,9133.00000,3,0.00000,
2015-01-26 20:00:00,1.24252,1.24881,1.24232,1.24723,4703.00000,4,0.00000,
2015-01-27 00:00:00,1.24706,1.24937,1.24692,1.24851,3590.00000,15,0.00000,
2015-01-27 04:00:00,1.24852,1.24926,1.24741,1.24765,3486.00000,7,0.00000,
2015-01-27 08:00:00,1.24767,1.24844,1.24394,1.24664,7649.00000,2,1603248000.00000,
2015-01-27 12:00:00,1.24662,1.24997,1.24293,1.24368,7041.00000,1,0.00000,
2015-01-27 16:00:00,1.24381,1.24470,1.23791,1.24094,10002.00000,1,0.00000,
2015-01-27 20:00:00,1.24092,1.24199,1.23841,1.23972,6638.00000,1,0.00000,
2015-01-28 00:00:00,1.23924,1.24384,1.23875,1.24342,5400.00000,5,0.00000,
2015-01-28 04:00:00,1.24349,1.24372,1.24247,1.24294,3273.00000,2,0.00000,
2015-01-28 08:00:00,1.24294,1.24451,1.24067,1.24314,4592.00000,2,0.00000,
2015-01-28 12:00:00,1.24316,1.24557,1.24143,1.24399,6315.00000,1,0.00000,
2015-01-28 16:00:00,1.24403,1.24613,1.24289,1.24498,7673.00000,1,0.00000,
2015-01-28 20:00:00,1.24500,1.25366,1.24241,1.25342,10434.00000,1,0.00000,
2015-01-29 00:00:00,1.25311,1.25345,1.25109,1.25165,3551.00000,11,0.00000,
2015-01-29 04:00:00,1.25166,1.25330,1.25166,1.25288,3451.00000,10,0.00000,
2015-01-29 08:00:00,1.25287,1.25534,1.25123,1.25257,9367.00000,6,4500000.00000,
2015-01-29 12:00:00,1.25256,1.25612,1.25196,1.25297,10466.00000,4,0.00000,
2015-01-29 16:00:00,1.25305,1.26764,1.25234,1.26495,13309.00000,3,0.00000,
2015-01-29 20:00:00,1.26497,1.26541,1.26042,1.26133,6146.00000,3,0.00000,
2015-01-30 00:00:00,1.26167,1.26264,1.26070,1.26196,3404.00000,12,0.00000,
2015-01-30 04:00:00,1.26193,1.26321,1.26127,1.26150,3124.00000,4,0.00000,
2015-01-30 08:00:00,1.26156,1.26695,1.26152,1.26578,8785.00000,3,0.00000,
2015-01-30 12:00:00,1.26595,1.27974,1.26426,1.27784,12363.00000,7,0.00000,
2015-01-30 16:00:00,1.27778,1.27952,1.26716,1.27232,12896.00000,3,0.00000,
2015-01-30 20:00:00,1.27232,1.27421,1.26585,1.27263,7601.00000,3,0.00000,
2015-02-02 00:00:00,1.26991,1.27287,1.26804,1.27267,7756.00000,10,0.00000,
2015-02-02 04:00:00,1.27266,1.27397,1.27159,1.27366,5120.00000,5,0.00000,
2015-02-02 08:00:00,1.27366,1.27727,1.27337,1.27456,13246.00000,5,0.00000,
2015-02-02 12:00:00,1.27457,1.27594,1.26470,1.26486,15849.00000,5,0.00000,
2015-02-02 16:00:00,1.26487,1.26523,1.25571,1.25799,19551.00000,5,0.00000,
2015-02-02 20:00:00,1.25797,1.26035,1.25627,1.25627,10088.00000,5,0.00000,
2015-02-03 00:00:00,1.25619,1.25900,1.25618,1.25797,7273.00000,8,0.00000,
2015-02-03 04:00:00,1.25798,1.26437,1.25747,1.26186,9554.00000,5,0.00000,
2015-02-03 08:00:00,1.26186,1.26257,1.25609,1.25805,14426.00000,5,0.00000,
2015-02-03 12:00:00,1.25803,1.25943,1.25011,1.25096,16253.00000,5,0.00000,
2015-02-03 16:00:00,1.25095,1.25473,1.24097,1.24326,20409.00000,5,0.00000,
2015-02-03 20:00:00,1.24325,1.24325,1.23518,1.24138,16243.00000,5,0.00000,
2015-02-04 00:00:00,1.24142,1.24428,1.24072,1.24269,5499.00000,6,0.00000,
2015-02-04 04:00:00,1.24271,1.24400,1.23898,1.23928,2745.00000,7,0.00000,
2015-02-04 08:00:00,1.23927,1.24592,1.23925,1.24475,13367.00000,5,0.00000,
2015-02-04 12:00:00,1.24472,1.24904,1.24321,1.24724,15507.00000,5,0.00000,
2015-02-04 16:00:00,1.24723,1.25913,1.24695,1.25616,19127.00000,5,0.00000,
2015-02-04 20:00:00,1.25616,1.25898,1.25470,1.25724,13459.00000,5,0.00000,
2015-02-05 00:00:00,1.25721,1.25861,1.25576,1.25636,9769.00000,8,0.00000,
2015-02-05 04:00:00,1.25636,1.25674,1.25433,1.25524,6012.00000,5,0.00000,
2015-02-05 08:00:00,1.25524,1.25663,1.25116,1.25141,14133.00000,5,0.00000,
2015-02-05 12:00:00,1.25142,1.25390,1.24637,1.24916,17293.00000,5,0.00000,
2015-02-05 16:00:00,1.24917,1.25208,1.24089,1.24329,18525.00000,5,0.00000,
2015-02-05 20:00:00,1.24328,1.24464,1.23935,1.24340,11839.00000,5,0.00000,
2015-02-06 00:00:00,1.24332,1.24507,1.24285,1.24384,7994.00000,7,0.00000,
2015-02-06 04:00:00,1.24383,1.24466,1.24305,1.24308,4869.00000,5,0.00000,
2015-02-06 08:00:00,1.24308,1.24610,1.24283,1.24400,10251.00000,5,0.00000,
2015-02-06 12:00:00,1.24401,1.25000,1.23654,1.24227,14812.00000,5,0.00000,
2015-02-06 16:00:00,1.24228,1.25327,1.24212,1.25153,15759.00000,5,0.00000,
2015-02-06 20:00:00,1.25152,1.25462,1.24969,1.25182,9026.00000,5,0.00000,
2015-02-09 00:00:00,1.25378,1.25390,1.25084,1.25101,8268.00000,8,0.00000,
2015-02-09 04:00:00,1.25101,1.25136,1.25040,1.25117,4482.00000,5,0.00000,
2015-02-09 08:00:00,1.25118,1.25186,1.25003,1.25014,7565.00000,5,0.00000,
2015-02-09 12:00:00,1.25012,1.25221,1.24813,1.24984,9862.00000,5,0.00000,
2015-02-09 16:00:00,1.24985,1.24994,1.24282,1.24643,12066.00000,3,0.00000,
2015-02-09 20:00:00,1.24644,1.24700,1.24302,1.24653,8267.00000,5,0.00000,
2015-02-10 00:00:00,1.24652,1.24797,1.24641,1.24748,6725.00000,5,0.00000,
2015-02-10 04:00:00,1.24749,1.24788,1.24528,1.24562,5497.00000,5,0.00000,
2015-02-10 08:00:00,1.24561,1.24959,1.24511,1.24906,10987.00000,5,0.00000,
2015-02-10 12:00:00,1.24907,1.25036,1.24530,1.24962,15758.00000,5,0.00000,
2015-02-10 16:00:00,1.24958,1.25745,1.24952,1.25562,17115.00000,5,0.00000,
2015-02-10 20:00:00,1.25561,1.26239,1.25538,1.25857,12124.00000,5,0.00000,
2015-02-11 00:00:00,1.25861,1.25926,1.25741,1.25756,7285.00000,5,0.00000,
2015-02-11 04:00:00,1.25755,1.25900,1.25720,1.25857,5763.00000,6,0.00000,
2015-02-11 08:00:00,1.25859,1.26011,1.25772,1.25933,10375.00000,5,0.00000,
2015-02-11 12:00:00,1.25933,1.26456,1.25838,1.26414,14562.00000,5,0.00000,
2015-02-11 16:00:00,1.26414,1.26970,1.26059,1.26358,16139.00000,3,0.00000,
2015-02-11 20:00:00,1.26355,1.26629,1.26186,1.26287,10245.00000,3,0.00000,
2015-02-12 00:00:00,1.26293,1.26336,1.26118,1.26260,5886.00000,6,0.00000,
2015-02-12 04:00:00,1.26263,1.26447,1.26232,1.26366,4863.00000,10,0.00000,
2015-02-12 08:00:00,1.26366,1.26404,1.25465,1.25607,13767.00000,5,0.00000,
2015-02-12 12:00:00,1.25609,1.25725,1.25268,1.25624,15398.00000,5,0.00000,
2015-02-12 16:00:00,1.25621,1.25668,1.24432,1.24919,20755.00000,5,0.00000,
2015-02-12 20:00:00,1.24922,1.25107,1.24727,1.25074,11297.00000,5,0.00000,
2015-02-13 00:00:00,1.25079,1.25199,1.25014,1.25138,6996.00000,7,0.00000,
2015-02-13 04:00:00,1.25139,1.25161,1.24862,1.24919,7882.00000,6,0.00000,
2015-02-13 08:00:00,1.24919,1.25209,1.24901,1.25182,11914.00000,5,0.00000,
2015-02-13 12:00:00,1.25181,1.25364,1.24638,1.24743,11430.00000,5,0.00000,
2015-02-13 16:00:00,1.24740,1.24900,1.24218,1.24514,13225.00000,5,0.00000,
2015-02-13 20:00:00,1.24521,1.24872,1.24405,1.24426,8646.00000,5,0.00000,
2015-02-16 00:00:00,1.24429,1.24583,1.24349,1.24363,8158.00000,5,0.00000,
2015-02-16 04:00:00,1.24362,1.24405,1.24248,1.24287,5825.00000,6,0.00000,
2015-02-16 08:00:00,1.24290,1.24532,1.24209,1.24420,9639.00000,5,0.00000,
2015-02-16 12:00:00,1.24420,1.24713,1.24358,1.24677,11186.00000,5,0.00000,
2015-02-16 16:00:00,1.24675,1.24839,1.24620,1.24746,11104.00000,5,0.00000,
2015-02-16 20:00:00,1.24744,1.24900,1.24517,1.24635,13388.00000,5,0.00000,
2015-02-17 00:00:00,1.24643,1.24779,1.24461,1.24548,8495.00000,7,0.00000,
2015-02-17 04:00:00,1.24548,1.24577,1.24410,1.24434,5730.00000,8,0.00000,
2015-02-17 08:00:00,1.24434,1.24501,1.23869,1.23953,12938.00000,5,0.00000,
2015-02-17 12:00:00,1.23954,1.24011,1.23626,1.23790,15069.00000,5,0.00000,
2015-02-17 16:00:00,1.23790,1.24471,1.23764,1.23960,17524.00000,5,0.00000,
2015-02-17 20:00:00,1.23960,1.24056,1.23711,1.23875,12685.00000,5,0.00000,
2015-02-18 00:00:00,1.23876,1.23972,1.23824,1.23944,6825.00000,8,0.00000,
2015-02-18 04:00:00,1.23944,1.24036,1.23808,1.23990,6115.00000,5,0.00000,
2015-02-18 08:00:00,1.23990,1.24191,1.23956,1.24101,11090.00000,5,0.00000,
2015-02-18 12:00:00,1.24095,1.24554,1.24005,1.24390,13848.00000,5,0.00000,
2015-02-18 16:00:00,1.24389,1.24657,1.24278,1.24427,16052.00000,5,0.00000,
2015-02-18 20:00:00,1.24425,1.24561,1.23876,1.24539,14671.00000,5,0.00000,
2015-02-19 00:00:00,1.24537,1.24576,1.24442,1.24445,5458.00000,5,0.00000,
2015-02-19 04:00:00,1.24445,1.24551,1.24366,1.24508,5689.00000,5,0.00000,
2015-02-19 08:00:00,1.24508,1.24895,1.24478,1.24892,12071.00000,5,0.00000,
2015-02-19 12:00:00,1.24890,1.25538,1.24713,1.25311,15851.00000,5,0.00000,
2015-02-19 16:00:00,1.25313,1.25464,1.24757,1.24935,17893.00000,5,0.00000,
2015-02-19 20:00:00,1.24934,1.25066,1.24836,1.24948,10373.00000,5,0.00000,
2015-02-20 00:00:00,1.24924,1.24978,1.24802,1.24808,6663.00000,5,0.00000,
2015-02-20 04:00:00,1.24807,1.24845,1.24794,1.24820,4307.00000,5,0.00000,
2015-02-20 08:00:00,1.24820,1.24875,1.24432,1.24442,12946.00000,5,0.00000,
2015-02-20 12:00:00,1.24439,1.25374,1.24223,1.25178,11729.00000,2,0.00000,
2015-02-20 16:00:00,1.25177,1.25644,1.25002,1.25108,19153.00000,4,0.00000,
2015-02-20 20:00:00,1.25101,1.25469,1.25094,1.25300,11185.00000,5,0.00000,
2015-02-23 00:00:00,1.25309,1.25532,1.25233,1.25515,7592.00000,5,0.00000,
2015-02-23 04:00:00,1.25516,1.25596,1.25487,1.25579,5481.00000,5,0.00000,
2015-02-23 08:00:00,1.25579,1.25883,1.25471,1.25876,12051.00000,5,0.00000,
2015-02-23 12:00:00,1.25874,1.26241,1.25833,1.25937,13502.00000,5,0.00000,
2015-02-23 16:00:00,1.25937,1.25981,1.25543,1.25860,15515.00000,5,0.00000,
2015-02-23 20:00:00,1.25858,1.25988,1.25402,1.25703,10484.00000,5,0.00000,
2015-02-24 00:00:00,1.25687,1.25759,1.25640,1.25667,6418.00000,5,0.00000,
2015-02-24 04:00:00,1.25668,1.25991,1.25657,1.25973,6221.00000,5,0.00000,
2015-02-24 08:00:00,1.25974,1.26462,1.25965,1.26424,11838.00000,5,0.00000,
2015-02-24 12:00:00,1.26422,1.26634,1.26025,1.26173,11606.00000,5,0.00000,
2015-02-24 16:00:00,1.26176,1.26568,1.25520,1.26087,17302.00000,5,0.00000,
2015-02-24 20:00:00,1.26087,1.26177,1.24786,1.24859,12697.00000,5,0.00000,
2015-02-25 00:00:00,1.24855,1.24973,1.24591,1.24638,6764.00000,5,0.00000,
2015-02-25 04:00:00,1.24639,1.24664,1.24500,1.24543,4233.00000,5,0.00000,
2015-02-25 08:00:00,1.24542,1.24689,1.24396,1.24439,13567.00000,5,0.00000,
2015-02-25 12:00:00,1.24438,1.24508,1.24009,1.24108,15171.00000,5,0.00000,
2015-02-25 16:00:00,1.24109,1.24587,1.24092,1.24360,15539.00000,5,0.00000,
2015-02-25 20:00:00,1.24358,1.24466,1.24214,1.24348,10763.00000,5,0.00000,
2015-02-26 00:00:00,1.24331,1.24424,1.24256,1.24370,8157.00000,5,0.00000,
2015-02-26 04:00:00,1.24371,1.24387,1.24236,1.24255,4483.00000,5,0.00000,
2015-02-26 08:00:00,1.24255,1.24267,1.23923,1.23928,11181.00000,5,0.00000,
2015-02-26 12:00:00,1.23930,1.24834,1.23877,1.24821,16199.00000,5,0.00000,
2015-02-26 16:00:00,1.24823,1.25306,1.24561,1.25042,18698.00000,5,0.00000,
2015-02-26 20:00:00,1.25041,1.25348,1.25041,1.25143,11075.00000,5,0.00000,
2015-02-27 00:00:00,1.25143,1.25211,1.24941,1.25032,8041.00000,5,0.00000,
2015-02-27 04:00:00,1.25032,1.25108,1.24864,1.24865,6120.00000,5,0.00000,
2015-02-27 08:00:00,1.24866,1.24985,1.24687,1.24712,13321.00000,5,0.00000,
2015-02-27 12:00:00,1.24714,1.24901,1.24498,1.24860,15664.00000,5,0.00000,
2015-02-27 16:00:00,1.24859,1.25171,1.24554,1.25084,18142.00000,5,0.00000,
2015-02-27 20:00:00,1.25083,1.25302,1.24868,1.25093,10544.00000,5,0.00000,
2015-03-02 00:00:00,1.24987,1.25205,1.24963,1.25086,8734.00000,5,0.00000,
2015-03-02 04:00:00,1.25085,1.25132,1.24940,1.24975,6154.00000,5,0.00000,
2015-03-02 08:00:00,1.24976,1.25261,1.24976,1.24985,11285.00000,5,0.00000,
2015-03-02 12:00:00,1.24984,1.25103,1.24763,1.25046,13725.00000,5,0.00000,
2015-03-02 16:00:00,1.25046,1.25641,1.24972,1.25392,15630.00000,5,0.00000,
2015-03-02 20:00:00,1.25390,1.25435,1.25298,1.25343,8541.00000,5,0.00000,
2015-03-03 00:00:00,1.25347,1.25430,1.25290,1.25302,6994.00000,5,0.00000,
2015-03-03 04:00:00,1.25301,1.25363,1.25084,1.25101,8055.00000,5,0.00000,
2015-03-03 08:00:00,1.25100,1.25253,1.24903,1.25253,12400.00000,5,0.00000,
2015-03-03 12:00:00,1.25261,1.25314,1.24347,1.24664,14818.00000,5,0.00000,
2015-03-03 16:00:00,1.24665,1.24683,1.24328,1.24610,16172.00000,5,0.00000,
2015-03-03 20:00:00,1.24610,1.24964,1.24609,1.24946,10079.00000,5,0.00000,
2015-03-04 00:00:00,1.24932,1.24961,1.24797,1.24916,8634.00000,5,0.00000,
2015-03-04 04:00:00,1.24917,1.25073,1.24912,1.25040,5664.00000,5,0.00000,
2015-03-04 08:00:00,1.25042,1.25288,1.24917,1.25182,13181.00000,5,0.00000,
2015-03-04 12:00:00,1.25183,1.25330,1.24963,1.25133,13640.00000,5,0.00000,
2015-03-04 16:00:00,1.25133,1.25399,1.24174,1.24265,18935.00000,5,0.00000,
2015-03-04 20:00:00,1.24266,1.24320,1.24070,1.24271,10054.00000,5,0.00000,
2015-03-05 00:00:00,1.24261,1.24299,1.24202,1.24269,7068.00000,5,0.00000,
2015-03-05 04:00:00,1.24268,1.24454,1.24215,1.24421,5630.00000,5,0.00000,
2015-03-05 08:00:00,1.24421,1.24494,1.24071,1.24115,12534.00000,5,0.00000,
2015-03-05 12:00:00,1.24114,1.24752,1.24082,1.24733,14667.00000,5,0.00000,
2015-03-05 16:00:00,1.24732,1.24998,1.24524,1.24956,17507.00000,5,0.00000,
2015-03-05 20:00:00,1.24957,1.25183,1.24850,1.24852,9107.00000,5,0.00000,
2015-03-06 00:00:00,1.24838,1.24934,1.24748,1.24790,7438.00000,5,0.00000,
2015-03-06 04:00:00,1.24789,1.24820,1.24727,1.24781,5602.00000,5,0.00000,
2015-03-06 08:00:00,1.24781,1.24955,1.24693,1.24813,13036.00000,5,0.00000,
2015-03-06 12:00:00,1.24813,1.25903,1.24554,1.25643,17005.00000,5,0.00000,
2015-03-06 16:00:00,1.25643,1.26268,1.25641,1.26149,19581.00000,5,0.00000,
2015-03-06 20:00:00,1.26149,1.26243,1.26021,1.26219,9190.00000,5,0.00000,
2015-03-09 00:00:00,1.26175,1.26257,1.25972,1.26183,5917.00000,3,0.00000,
2015-03-09 04:00:00,1.26183,1.26210,1.26067,1.26134,4162.00000,4,0.00000,
2015-03-09 08:00:00,1.26134,1.26137,1.25752,1.25922,11180.00000,4,0.00000,
2015-03-09 12:00:00,1.25921,1.26126,1.25729,1.25865,13525.00000,5,0.00000,
2015-03-09 16:00:00,1.25864,1.26073,1.25737,1.25983,12623.00000,5,0.00000,
2015-03-09 20:00:00,1.25982,1.26083,1.25876,1.26005,6389.00000,5,0.00000,
2015-03-10 00:00:00,1.26013,1.26344,1.26013,1.26310,9154.00000,5,0.00000,
2015-03-10 04:00:00,1.26305,1.26481,1.26294,1.26380,10020.00000,5,0.00000,
2015-03-10 08:00:00,1.26380,1.26796,1.26248,1.26787,16278.00000,5,0.00000,
2015-03-10 12:00:00,1.26784,1.26829,1.25988,1.26325,19946.00000,5,0.00000,
2015-03-10 16:00:00,1.26325,1.26682,1.26095,1.26560,16359.00000,5,0.00000,
2015-03-10 20:00:00,1.26561,1.26920,1.26509,1.26859,9879.00000,5,0.00000,
2015-03-11 00:00:00,1.26855,1.26891,1.26714,1.26787,9524.00000,5,0.00000,
2015-03-11 04:00:00,1.26787,1.27043,1.26783,1.26891,9157.00000,5,0.00000,
2015-03-11 08:00:00,1.26889,1.26997,1.26642,1.26967,9745.00000,8,0.00000,
2015-03-11 12:00:00,1.26967,1.27182,1.26688,1.27051,12339.00000,8,0.00000,
2015-03-11 16:00:00,1.27051,1.27968,1.27020,1.27741,16039.00000,8,0.00000,
2015-03-11 20:00:00,1.27744,1.27762,1.27310,1.27418,9802.00000,5,0.00000,
2015-03-12 00:00:00,1.27414,1.27551,1.27335,1.27452,9874.00000,5,0.00000,
2015-03-12 04:00:00,1.27450,1.27683,1.27321,1.27359,10598.00000,5,0.00000,
2015-03-12 08:00:00,1.27362,1.27384,1.26792,1.26915,17264.00000,5,0.00000,
